Year,Games,Season,City
1992,1992 Summer,Summer,Barcelona
2012,2012 Summer,Summer,London
1920,1920 Summer,Summer,Antwerpen
1900,1900 Summer,Summer,Paris
1988,1988 Winter,Winter,Calgary
1992,1992 Winter,Winter,Albertville
1994,1994 Winter,Winter,Lillehammer
1932,1932 Summer,Summer,Los Angeles
2002,2002 Winter,Winter,Salt Lake City
1952,1952 Summer,Summer,Helsinki
1980,1980 Winter,Winter,Lake Placid
2000,2000 Summer,Summer,Sydney
1996,1996 Summer,Summer,Atlanta
1912,1912 Summer,Summer,Stockholm
1924,1924 Summer,Summer,Paris
2014,2014 Winter,Winter,Sochi
1948,1948 Summer,Summer,London
